,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL3969403,0.0002,nM,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O,12.69897000433602,429.12708871999996,7,2,2.12408,True
1,CHEMBL3937515,0.0009,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,12.045757490560677,435.13765340400005,8,2,1.656,True
2,CHEMBL3949213,0.001,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)C2(CCCC2)C(N)=N1,12.0,455.14273878399996,7,2,2.6582800000000004,True
3,CHEMBL3955051,0.0018,nM,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)CS1(=O)=O,11.744727494896694,455.12389515999996,7,2,2.585000000000001,True
4,CHEMBL3936264,0.0057,nM,C[C@@]1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.244125144327509,442.09226068400005,7,2,2.0752,True
5,CHEMBL3958332,0.0061,nM,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.214670164989233,410.06156727200005,6,2,2.1271999999999998,True
6,CHEMBL3930841,0.0082,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.086186147616283,401.09578859199996,7,2,1.3454800000000002,True
7,CHEMBL3982593,0.011,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CSCC(N)=N1,10.958607314841776,369.105959352,6,2,2.6638800000000007,True
8,CHEMBL4088234,0.024,nM,C[C@@H]1C[C@@](C)(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)N=C(N)S1,10.619788758288394,393.12980974000004,4,2,4.204600000000003,True
9,CHEMBL4212046,0.033,nM,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)n1,10.481486060122112,419.1085815320002,9,2,2.4808,True
