SMILES	Group	RDMol
Cc1cc(CN2CCCC2)cc(C2CCC(N3CCC(C(=O)NCCO)C3)=CC2=O)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473773d00>
N#Cc1cc(OCC(N)c2ccccc2)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648245a7b0>
COc1ccccc1CNCNC(C)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648245abc0>
NC1=NC(CF)(c2cc(NC(=O)c3cnc(OCc4ccccn4)cn3)ccc2F)COC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648245ac10>
CC1(C)SCC(C)(c2cccc(NC(=O)c3ccc(Br)cn3)c2)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648245a4e0>
CC(C)(C)NC(=O)C12CC1NC(N)=NC2(c1ccccc1)c1cccc(-c2cncnc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473760990>
CN(c1ccc(C(=O)Nc2ccon2)c(F)c1)c1cc(-c2ccc(OC(F)F)cc2)c(F)cc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738b9440>
COc1ccc(C=CC(=O)CCC(=O)O)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473703ee0>
C=CC(=O)Nc1cccc(CNc2ccc(-c3ccccc3)cn2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473703b70>
CN1C(=O)C(c2ccc(OC(F)F)cc2)(c2ccc(F)c(-c3cccnc3)c2)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737033f0>
O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc2ccccc2c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473703f30>
COc1cnc(C(=O)Nc2ccc(F)c(C3(CF)N=C(N)OC4CC43)c2)c(OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473703e90>
NC1=NC(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)COC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737034e0>
COc1c(C)noc1-c1ccc(CC(C)C)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473703e40>
CS(=O)(=O)N1CC2C=C(c3ccc(-c4cccc(-c5cccc(C(=O)O)c5)c4)cc3)CC2C1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6482127080>
O=C(Nc1ccccc1-c1cncc(C(F)(F)F)c1)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6482462580>
COc1cc(C=CC(=O)CC(=O)C=Cc2c[nH]c3ccccc23)ccc1O	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6482462c10>
O=C(COc1ccccc1)Nc1ccc2nc(CNC3CCCCC3)ccc2c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737275d0>
O=C(C=Cc1ccccc1)C=Cc1ccc(OCc2ccccc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737273a0>
O=C(C=Cc1ccccc1)CCCCCC(=O)C=Cc1ccc(O)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737272b0>
O=C(Nc1cc(-c2ccccc2)ccc1N1CCC(O)(C(F)F)CC1)c1ccc(F)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727580>
CC(=O)NC(Cc1ccccc1)C(O)CNCc1cccc(OCC(O)CO)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727b20>
Cc1cc(Br)cc(C)c1NC(=O)c1cccc(C(F)(F)F)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727210>
NC1=NC(c2cc(NC(=O)c3cnc(OCF)cn3)ccc2N)OC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727670>
CCOCCOc1ccc2c(c1)C1(CC(C)(C)C(=O)N1C)OCCO2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737277b0>
CCc1ccc(CNCC(O)C=Cc2cccc(C=CC(=O)CCCCN3CCCCC3)c2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727440>
COc1ccc2oc(-c3cccc(NC(=O)C(C)(C)C)c3)cc(=O)c2c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727260>
O=S(=O)(c1ccccc1)N(Cc1ccc(OC(F)(F)F)cc1)CC(F)(F)F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727bc0>
C=CCN(C)CC(O)C(Cc1ccccc1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(C(=O)OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737276c0>
CCc1cn(C2OC(C)C(O)C2O)c(=O)nc1C(C)C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727170>
CC(C)OCC=CCc1ccc(OCC(O)CN(C)Cc2ccccc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727030>
NC1=NC2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)OCC2CS1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727d00>
COc1cc(C(=O)NC2CCN(C)CC2)cc(-c2ccccc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727f80>
COc1ccccc1-c1ccc2c(c1)C1(CCOC(N)=N1)c1cc(-c3cccnc3F)ccc1O2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727cb0>
COc1ccc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2Cl)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727530>
CN(C)Cc1ccccc1-c1cc2c(Nc3cccc(Br)c3)ncnc2s1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473727760>
CCC(O)C(CC)NC(CC(C)C)C(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNCc1cccc(CCO)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648241bb20>
CCOc1cc(CC2CS(=O)(=O)CC(NCc3cccc(C(C)C)c3)C2O)ccc1-c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730c10>
O=C(Nc1cc(-c2ccccc2)cc(Oc2ccccc2)n1)C1CCCc2ccc(O)cc21	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737301c0>
COCc1cc2cc(C#N)ccc2nc1O	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730620>
Nc1cc(Nc2ccc(F)cn2)ccc1Nc1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737304e0>
COc1cc(NC(=O)c2ccc(NC(=O)N3Cc4ccccc4C3)cc2)cc(OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730d50>
NCc1ccc(Br)cc1CCC(=O)Nc1cccc(Cl)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730cb0>
NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)COC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737302b0>
CC(C)CCN1C(Cc2cccc(C(F)(F)F)c2)CNC(=O)C(C)C1C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730a30>
CC(C)Oc1cc(C(=O)NC2Cc3cccc(NC(C)(C)C)c3CN(C)C2)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730940>
COc1ccc2[nH]c(-c3cccc(-c4ccc(NC(C)=O)cc4)c3)nc2c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730ad0>
COc1ccc(NC(=O)c2cnc(C)cn2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730990>
CCCNCCOc1cccc(-c2ccc(C3CC3)cc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730300>
CCN(CC)CCC(=O)C(c1ccccc1)c1ccccc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730030>
Cc1ccc(-c2ocnc2CCCCCN2CCCC(C)C2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737300d0>
CCCN(CCC)C(=O)c1cc(C(C)=O)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)CNCc2ccccc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730a80>
CCCS(=O)(=O)C(C)C(CC)Nc1cccc(-c2ccccc2Cl)n1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730080>
O=C(C=Cc1ccc(O)cc1)C=C(O)C=Cc1ccc(Oc2ccccc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730210>
CC1(c2cc(-c3cncc(Cl)c3)ccc2F)N=C(N)OCC1(F)F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730350>
CC1(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)Cc2cccc(F)c2N1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730710>
CCCCCCNC(=O)Oc1cccc(C2=CCCCC2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f6473730e40>
CC1(c2cc(Nc3ccccn3)ccc2F)N=C(N)OCC1(F)F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64737309e0>
O=c1cccc(-c2ccccc2)c(O)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738517b0>
CC#Cc1ccncc1-c1ccc(OC)c(CCc2ccc3ccc(OC)cc3c2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f64738510d0>
CCN(CC)Cc1cc(CC2C=[SH](O)(O)CC(NCc3cccc(C(C)(C)C)c3)C2=O)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384d1c0>
CC(C)CNc1cc(-c2ccc(CNCCO)cc2)cc(NCCCC(F)(F)F)n1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384d2b0>
Cc1cc(CNC(=O)C(NC(=O)CC(N)CCCN=C(N)N)C(C)O)oc1C	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384d440>
CCCC(=O)Nc1ccc(-c2ccnc(N3CCNCC3)c2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384dad0>
COc1ccc(-c2noc(C)c2C(=O)N=C(N)NCCCON=C(N)N(C)C)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648233a440>
NC1=NC2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c(F)cccc12	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f648233ae90>
C#Cc1ccc2c(c1)C1CCN(CCCc3ccccc3)CC1CO2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a5d0>
COCCCCC(O)(Cc1cccc(OCc2ncccn2)c1)C(O)CNCCc1cccc(OC)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a4e0>
COCCOc1cc2ncc(C#N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1OC	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a670>
NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(Br)c2)C(CO)N1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a2b0>
O=C(C=Cc1ccc2c(ccn2-c2ccncc2)c1)NCc1cccc(F)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384ac10>
CCc1ccc(-c2noc(C)c2CC(=O)Oc2ccc(CCCOC)cc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a0d0>
CN1C(=O)C(N)=NC2(CC(C)(C)Oc3ccc(-c4cncc(Cl)c4)cc32)C1=O	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a940>
CC(=O)Nc1c(Cl)cc(Cl)c2ccccc12	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a620>
CC(=O)N1C(Cc2ccncc2)CCC1(O)c1nc(C(=O)O)cs1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a260>
CN(Cc1ccccc1)Cc1cccc(C=CC(=O)NO)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384a300>
NC1=NC(c2cc(NC(=O)c3cnc(OCC(F)F)cn3)ccc2F)(C(F)F)COC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647384ae90>
CN(c1cc(-c2ccc3c(c2)CCNCCO3)ccn1)C(Cc1cccc(O)c1)C(=O)NC1CCCc2ccccc21	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bb70>
CC1(c2cc(Nc3cnccn3)ccc2F)CCSC(N)=NC1(O)CCO	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bd50>
COc1cc(CC(=O)OCC(=O)Nc2cccc(C(=O)O)c2)ccc1F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bcb0>
CCOc1cccc(-c2nc(SCC(=O)Nc3nc(-c4cc(Cl)ccc4OC)cc(Cl)c3F)n[nH]2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b760>
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CCC(C)(c2cccc(O)c2)CC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b300>
Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bdf0>
CCc1ccc(C(c2cccc(Br)c2)C2(C)CC2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b350>
CC(C)CC1CC(=O)NC(CCC2CCCCC2)C(=O)N(C)C(CC(C)C)C(=O)NCCC(=O)N1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b210>
COc1cccc(-c2cc(OCC3CCNCC3)cnc2-c2ccc(C)cc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372be40>
Oc1ccc(C2Oc3ccccc3OC2COc2ccc(OCc3ccccc3)cc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b5d0>
COCC(Oc1cccc(CC2C[SH](O)CC(NCc3ccccn3)C2=O)c1)C(F)(F)F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bee0>
CCCc1cc(-c2ccc(CC(C)NC(=O)C3CNCCO3)cc2)cc(N2CCN(C(=O)C=CC(C)C)C2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b080>
Cc1cc(C)nc(NC(C)c2ncc(CC#N)cc2C)n1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b8a0>
Cc1cnc(Oc2ccc(-c3ccc(CCC(C)C)c(C)c3)cc2)c(N)n1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b990>
CN(Cc1ccccc1)Cc1cccc(C=CC(=O)COc2ccc(-c3ccccc3)cc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b170>
Nc1nc(=O)c2ccccc2[nH]1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372ba30>
O=C1OCC(c2ccc(OCCCF)cc2)(C2CCCCC2)N1CC1CCOCC1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b8f0>
CCCC(O)CCCCCCCC(=O)NC(CC)CS	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372bc10>
CC(NC(=O)c1cc(NC(=O)NCCCCCS(=O)(=O)C2CCC2)cc(N2CCCCC2)c1)C(F)C(F)(F)F	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b9e0>
COc1cnc(C(=O)Nc2ccc(Cl)c(C3(C(F)F)N=C(N)OC4CC43)c2)cn1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b800>
COc1ccc(N2CC(=O)CON2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b670>
CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2ccc3cc[nH]c3c2)cc2c1CCN2	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372b850>
COc1ccccc1Oc1ccc(CN2CCC3(CC2)OCc2ccccc2O3)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d300>
CCCNC(=O)Oc1ccc(Oc2ccc(C)cc2C(=O)NOCc2ccccc2)cc1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372db20>
O=C(C=Cc1ccc(O)cc1)C=C(O)C=Cc1ccc(OCc2cccc(F)c2)c(OCc2ccccc2)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d800>
CN1C(=O)C(c2ccccc2)(c2cccc(F)c2)N=C1N	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372d9e0>
N#Cc1cccc(C23CCC(N(CCN4CCCC4)C(=O)Nc4ccc(F)c(Cl)c4)C2C3)c1	Generated	<rdkit.Chem.rdchem.Mol object at 0x7f647372dee0>
