,SMILES,Group,RDMol,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,Cc1cc(CN2CCCC2)cc(C2CCC(N3CCC(C(=O)NCCO)C3)=CC2=O)c1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473773d00>,425.26784197999996,5,2,2.3516200000000005,True
1,N#Cc1cc(OCC(N)c2ccccc2)ccc1F,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f648245a7b0>,256.101191256,3,1,2.776180000000001,True
2,COc1ccccc1CNCNC(C)c1ccccc1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f648245abc0>,270.173213324,3,2,3.0931000000000015,True
3,NC1=NC(CF)(c2cc(NC(=O)c3cnc(OCc4ccccn4)cn3)ccc2F)COC1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f648245ac10>,454.15649494,8,2,2.3942000000000005,True
4,CC1(C)SCC(C)(c2cccc(NC(=O)c3ccc(Br)cn3)c2)N=C1N,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f648245a4e0>,432.0619443920001,5,2,4.194200000000003,True
5,CC(C)(C)NC(=O)C12CC1NC(N)=NC2(c1ccccc1)c1cccc(-c2cncnc2)c1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473760990>,440.23245951600006,6,3,2.978500000000002,True
6,CN(c1ccc(C(=O)Nc2ccon2)c(F)c1)c1cc(-c2ccc(OC(F)F)cc2)c(F)cc1F,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f64738b9440>,489.11118247199994,5,1,6.380500000000003,True
7,COc1ccc(C=CC(=O)CCC(=O)O)cc1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473703ee0>,234.089208928,3,1,2.1423000000000005,True
8,C=CC(=O)Nc1cccc(CNc2ccc(-c3ccccc3)cn2)c1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473703b70>,329.152812228,3,2,4.4852000000000025,True
9,CN1C(=O)C(c2ccc(OC(F)F)cc2)(c2ccc(F)c(-c3cccnc3)c2)N=C1N,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f64737033f0>,426.13036044400013,5,1,3.519400000000002,True
10,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccc2ccccc2c1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473703f30>,387.231062548,3,1,4.172000000000003,True
11,COc1cnc(C(=O)Nc2ccc(F)c(C3(CF)N=C(N)OC4CC43)c2)c(OC)c1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473703e90>,418.14526155999994,7,2,2.3884000000000007,True
12,NC1=NC(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)COC1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f64737034e0>,398.07573802799993,5,2,2.9742000000000015,True
13,COc1c(C)noc1-c1ccc(CC(C)C)cc1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6473703e40>,245.141578848,3,0,3.8571200000000028,True
14,CS(=O)(=O)N1CC2C=C(c3ccc(-c4cccc(-c5cccc(C(=O)O)c5)c4)cc3)CC2C1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6482127080>,459.15042927999997,3,1,5.013500000000004,True
15,O=C(Nc1ccccc1-c1cncc(C(F)(F)F)c1)c1ccccc1,Generated,<rdkit.Chem.rdchem.Mol object at 0x7f6482462580>,342.097997696,2,1,5.019700000000003,True
